15,64
18,856
23,236
29,244
36,752
45,04
53,712
61,646
68,23
72,966
75,47
76,574
77,288
77,828
78,338
78,89
79,33
79,686
79,978
80,252
80,58
80,876
81,178
81,478
81,762
82,01
82,258
82,47
82,706
82,96
83,16
83,432
83,65
83,89
84,134
84,27
84,47
84,532
84,556
84,618
84,77
84,746
84,632
84,584
84,592
84,48
84,368
84,16
83,932
83,704
83,44
83,152
82,762
82,278
81,7
81,02
80,292
79,546
78,806
78,132
77,62
77,244
76,874
76,578
76,33
76,01
75,762
75,484
75,224
75,072
75,16
75,36
75,47
75,69
76,054
76,43
76,854
77,284
77,636
77,928
78,28
78,888
79,136
79,184
79,136
79,04
78,936
78,868
78,88
78,984
79,16
79,456
79,734
79,87
79,87
79,87
79,87
79,87
79,87
79,87
79,87
