15,58
18,844
23,302
29,442
37,134
45,63
54,494
62,596
69,272
74,038
76,59
77,958
78,858
79,558
80,244
81,02
81,604
82,032
82,332
82,564
82,82
82,972
83,13
83,254
83,308
83,26
83,18
82,992
82,8
82,602
82,29
82,026
81,624
81,16
80,634
79,97
79,41
78,802
78,25
77,814
77,51
77,022
76,336
75,584
74,782
73,83
72,942
72,126
71,462
70,97
70,61
70,474
70,314
70,118
69,868
69,54
69,156
68,766
68,426
68,136
67,84
67,712
67,638
67,686
67,882
68,21
68,746
69,372
70,076
70,802
71,45
71,81
72,068
72,112
71,902
71,47
71,222
70,902
70,418
69,82
69,3
69,3
69,162
69,202
69,556
70,18
71,124
72,344
73,884
75,728
77,8
80,36
82,56
83,6
83,6
83,6
83,6
83,6
83,6
83,6
83,6
