15,59
18,798
23,152
29,132
36,606
44,83
53,342
61,056
67,312
71,642
73,77
74,434
74,774
74,974
75,118
75,19
75,294
75,47
75,722
76,076
76,58
77,228
77,93
78,738
79,684
80,78
81,884
83,078
84,238
85,294
86,23
87,03
87,626
88,066
88,342
88,39
88,398
88,256
88,092
88,002
88,05
87,914
87,724
87,636
87,632
87,52
87,448
87,31
87,198
87,136
87,08
87,112
87,072
86,976
86,836
86,66
86,548
86,394
86,234
86,096
86
85,96
85,92
85,976
86,112
86,2
86,328
86,45
86,57
86,732
87,02
87,212
87,32
87,424
87,526
87,55
87,75
87,908
87,936
87,89
87,97
88,642
88,852
88,9
88,94
88,98
89,02
89,066
89,13
89,212
89,3
89,404
89,496
89,54
89,54
89,54
89,54
89,54
89,54
89,54
89,54
