15,55
18,758
23,154
29,222
36,848
45,32
54,272
62,528
69,468
74,562
77,37
78,73
79,652
80,336
80,952
81,64
82,136
82,482
82,714
82,89
83,09
83,178
83,272
83,32
83,278
83,11
82,894
82,54
82,184
81,84
81,4
81,048
80,564
80,036
79,468
78,78
78,284
77,818
77,482
77,33
77,37
77,346
77,214
77,098
76,992
76,76
76,576
76,482
76,562
76,854
77,35
78,102
78,884
79,644
80,308
80,78
81,052
80,976
80,716
80,378
80,01
79,826
79,864
80,212
80,848
81,64
82,672
83,686
84,686
85,666
86,61
87,234
87,738
88,11
88,352
88,48
88,784
89,016
89,108
89,124
89,26
90,02
90,318
90,458
90,592
90,72
90,832
90,944
91,056
91,168
91,28
91,392
91,486
91,53
91,53
91,53
91,53
91,53
91,53
91,53
91,53
