8,46
9,148
9,854
10,534
11,154
11,69
12,026
12,272
12,44
12,566
12,71
12,894
13,042
13,242
13,508
13,78
14,18
14,592
15,084
15,72
16,56
17,824
19,256
21,088
23,458
26,41
29,37
33,008
36,652
40,042
43,33
45,882
47,684
48,58
48,622
48,07
46,942
45,478
43,802
41,99
40,07
37,766
35,36
32,976
30,662
28,39
26,302
24,352
22,532
20,808
19,12
17,56
16,024
14,532
13,124
11,86
10,82
9,978
9,326
8,832
8,44
8,176
7,972
7,82
7,694
7,55
7,422
7,306
7,21
7,146
7,13
7,154
7,166
7,222
7,344
7,52
7,68
7,846
8,01
8,168
8,32
8,432
8,496
8,504
8,462
8,39
8,318
8,27
8,274
8,338
8,45
8,65
8,832
8,92
8,92
8,92
8,92
8,92
8,92
8,92
8,92
