15,67
18,774
22,856
28,304
34,934
41,99
48,598
54,354
58,686
61,392
62,64
63,288
63,654
64,002
64,426
64,85
65,298
65,776
66,28
66,85
67,57
68,37
69,188
70,084
71,106
72,29
73,474
74,742
75,97
77,106
78,17
79,138
79,95
80,658
81,258
81,69
82,106
82,348
82,512
82,68
82,92
82,96
82,916
82,94
83,016
82,96
82,904
82,764
82,608
82,452
82,26
82,044
81,75
81,386
80,956
80,46
79,964
79,438
78,906
78,418
78,05
77,77
77,484
77,248
77,044
76,78
76,572
76,346
76,126
75,988
76,06
76,188
76,25
76,402
76,656
76,88
77,168
77,474
77,706
77,882
78,13
78,69
78,89
78,91
78,856
78,76
78,672
78,614
78,622
78,7
78,82
79,028
79,212
79,3
79,3
79,3
79,3
79,3
79,3
79,3
79,3
