15,36
18,568
22,886
28,766
36,054
43,99
51,91
58,996
64,604
68,376
70,24
71,064
71,576
71,964
72,34
72,74
72,988
73,158
73,266
73,344
73,44
73,432
73,454
73,474
73,476
73,46
73,492
73,464
73,464
73,494
73,47
73,558
73,568
73,58
73,594
73,53
73,578
73,56
73,536
73,56
73,68
73,672
73,604
73,6
73,646
73,59
73,558
73,514
73,522
73,594
73,69
73,834
73,972
74,088
74,174
74,23
74,302
74,272
74,176
74,046
73,91
73,846
73,788
73,812
73,906
73,97
74,122
74,238
74,326
74,428
74,62
74,724
74,756
74,784
74,802
74,73
74,778
74,844
74,836
74,776
74,8
75,168
75,248
75,236
75,228
75,22
75,204
75,188
75,164
75,13
75,09
75,034
74,99
74,97
74,97
74,97
74,97
74,97
74,97
74,97
74,97
