7,3
7,532
7,74
7,908
8,024
8,08
8,032
7,948
7,828
7,69
7,57
7,442
7,362
7,278
7,17
7,05
6,938
6,85
6,774
6,702
6,63
6,55
6,482
6,41
6,338
6,29
6,226
6,18
6,128
6,042
5,89
5,778
5,69
5,61
5,552
5,56
5,576
5,562
5,558
5,58
5,62
5,652
5,714
5,822
5,982
6,19
6,51
6,818
7,198
7,656
8,12
8,992
10,572
12,86
16,154
21,05
28,106
36,398
45,622
54,674
61,65
67,498
71,882
75,05
77,3
78,98
80,148
81,19
81,982
82,604
83,34
83,796
84,132
84,388
84,592
84,76
85,056
85,334
85,518
85,646
85,87
86,63
86,97
87,15
87,306
87,45
87,594
87,732
87,872
88,012
88,14
88,244
88,33
88,37
88,37
88,37
88,37
88,37
88,37
88,37
88,37
