11,39
13,494
16,078
19,266
22,936
26,72
30,016
32,886
35,01
36,398
37,39
39,126
40,502
42,158
44,376
47,08
49,312
51,07
52,434
53,596
54,86
55,94
56,708
57,056
56,966
56,51
55,678
54,462
53,074
51,526
49,63
47,558
45,294
42,894
40,378
37,73
35,146
32,562
30,042
27,654
25,47
23,262
21,156
19,204
17,43
15,83
14,534
13,442
12,558
11,858
11,29
10,922
10,56
10,208
9,876
9,58
9,332
9,144
9,012
8,918
8,83
8,766
8,72
8,696
8,698
8,73
8,794
8,912
9,064
9,226
9,37
9,426
9,446
9,398
9,276
9,1
8,98
8,842
8,682
8,508
8,34
8,3
8,266
8,306
8,448
8,68
8,984
9,456
10,136
11,076
12,34
14,588
16,644
17,64
17,64
17,64
17,64
17,64
17,64
17,64
17,64
