15,64
18,864
23,306
29,462
37,22
45,86
55,068
63,562
70,742
76,026
78,85
79,858
80,482
80,838
81,044
81,22
81,324
81,422
81,51
81,604
81,74
81,82
81,924
82,024
82,102
82,15
82,238
82,254
82,29
82,342
82,31
82,366
82,356
82,368
82,384
82,28
82,272
82,15
82,01
81,934
81,99
81,894
81,792
81,836
82,022
82,19
82,51
82,824
83,204
83,656
84,12
84,584
84,964
85,264
85,492
85,66
85,852
85,984
86,12
86,266
86,37
86,546
86,668
86,84
87,064
87,24
87,448
87,65
87,842
88,048
88,32
88,448
88,498
88,526
88,532
88,46
88,58
88,7
88,724
88,698
88,81
89,554
89,842
89,978
90,116
90,26
90,412
90,558
90,694
90,822
90,95
91,078
91,182
91,23
91,23
91,23
91,23
91,23
91,23
91,23
91,23
