15,45
18,65
22,99
28,938
36,352
44,48
52,744
60,222
66,254
70,434
72,61
73,714
74,446
75,034
75,628
76,3
76,764
77,09
77,314
77,486
77,67
77,75
77,842
77,926
78,004
78,1
78,284
78,444
78,644
78,882
79,09
79,434
79,724
80,04
80,37
80,61
80,946
81,162
81,342
81,556
81,86
81,996
82,078
82,258
82,532
82,74
83,036
83,296
83,604
83,968
84,32
84,664
84,954
85,182
85,352
85,48
85,648
85,726
85,762
85,786
85,81
85,858
85,87
85,95
86,094
86,19
86,326
86,468
86,62
86,8
87,04
87,152
87,204
87,264
87,322
87,29
87,442
87,57
87,59
87,554
87,65
88,33
88,56
88,636
88,706
88,77
88,826
88,87
88,914
88,96
89
89,024
89,042
89,05
89,05
89,05
89,05
89,05
89,05
89,05
89,05
