15,65
18,93
23,44
29,684
37,554
46,33
55,722
64,406
71,75
77,158
80,07
81,238
81,98
82,436
82,744
83,04
83,272
83,474
83,654
83,842
84,09
84,282
84,486
84,67
84,812
84,9
84,964
84,932
84,892
84,834
84,65
84,514
84,276
84,024
83,74
83,3
82,908
82,402
81,898
81,472
81,16
80,648
80,016
79,404
78,818
78,13
77,514
76,934
76,462
76,116
75,86
75,748
75,654
75,566
75,462
75,31
75,198
75,086
75,118
75,242
75,21
75,474
75,762
76,158
76,636
77,06
77,556
78,028
78,456
78,828
79,14
79,188
79,134
78,99
78,772
78,5
78,372
78,328
78,276
78,224
78,28
78,936
79,316
79,632
79,986
80,37
80,762
81,178
81,642
82,152
82,68
83,256
83,736
83,96
83,96
83,96
83,96
83,96
83,96
83,96
83,96
