15,5
18,62
22,73
28,214
34,884
41,98
48,604
54,394
58,774
61,558
62,95
63,926
64,59
65,222
65,962
66,81
67,458
67,938
68,29
68,582
68,91
69,15
69,39
69,634
69,896
70,2
70,584
71,01
71,498
72,032
72,56
73,176
73,756
74,364
74,992
75,56
76,232
76,778
77,274
77,778
78,33
78,698
79,012
79,424
79,938
80,41
80,994
81,566
82,198
82,894
83,59
84,262
84,814
85,246
85,578
85,85
86,138
86,318
86,442
86,54
86,62
86,732
86,79
86,894
87,05
87,17
87,33
87,466
87,594
87,762
88,05
88,242
88,332
88,412
88,498
88,53
88,738
88,928
89,004
89,014
89,15
89,902
90,18
90,304
90,428
90,54
90,636
90,72
90,792
90,854
90,91
90,942
90,962
90,97
90,97
90,97
90,97
90,97
90,97
90,97
90,97
